Tên Món,Loại Món,Nguyên Liệu Chính,Cách Chế Biến,Chi Phí Dự Báo 2026 (VND),Calo Ước Tính (cho 1 suất)
Thịt kho tàu,Món Kho,"Thịt ba chỉ, Trứng vịt, Nước dừa, Đường thốt nốt, Nước mắm, Hành, Tỏi, Gừng","1. Chần thịt sơ. 2. Đảo đường thành nước màu. 3. Xào thịt, cho vào nồi kho với nước dừa. 4. Kho nhừ, cho trứng vào kho thêm.",~350.000,~450 kcal
Thịt kho tiêu,Món Kho,"Thịt ba rọi, Hạt tiêu, Đường, Nước mắm, Nước dùng, Hành, Tỏi","1. Chần thịt sơ. 2. Ướp thịt với tiêu. 3. Phi thơm hành tỏi, xào thịt. 4. Kho với lửa nhỏ liu riu cho đến khi thịt nhừ và nước sánh.",~280.000,~400 kcal
Thịt kho trứng,Món Kho,"Thịt ba chỉ, Trứng gà, Đường, Nước mắm, Nước dùng, Hành, Tỏi",1. Chần thịt sơ. 2. Đảo đường thành nước màu. 3. Kho thịt nhừ. 4. Cho trứng đã luộc chín vào kho thêm 10-15 phút.,~300.000,~420 kcal
Cá kho tộ,Món Kho,"Cá basa, Mỡ gáy, Hành, Tỏi, Đường, Nước mắm, Nước dừa","1. Làm sạch và thấm khô cá. 2. Phi thơm hành tỏi trong mỡ gáy. 3. Rải mỡ hành vào nồi, xếp cá lên, rưới mỡ hành lên cá. 4. Kho liu riu với nước dùng (nước mắm+đường+nước) cho đến khi cá chín mềm.",~320.000,~380 kcal
Cá kho riềng,Món Kho,"Cá basa, Riềng non, Hành, Tỏi, Đường, Nước mắm, Ớt",1. Làm sạch và thấm khô cá. 2. Phi thơm riềng non. 3. Xào sơ cá với riềng. 4. Kho với lửa nhỏ liu riu khoảng 20-25 phút cho cá chín.,~340.000,~360 kcal
Cá kho nghệ,Món Kho,"Cá basa, Nghệ tươi, Hành, Tỏi, Đường, Nước mắm","1. Làm sạch và thấm khô cá. 2. Phi thơm hành tỏi và nghệ. 3. Cho cá vào nồi, đổ nước dùng (pha từ nước mắm, đường, bột nghệ) vào. 4. Kho nhỏ lửa khoảng 20 phút cho cá chín.",~330.000,~350 kcal
Gà kho gừng,Món Kho,"Gà ta, Gừng non, Hành, Tỏi, Đường, Nước mắm, Nước dùng",1. Ướp gà với gừng và chanh. 2. Phi thơm gừng. 3. Kho gà với lửa nhỏ liu riu khoảng 45-60 phút cho đến khi gà nhừ.,~360.000,~390 kcal
Gà kho sả ớt,Món Kho,"Gà ta, Sả, Ớt, Hành, Tỏi, Đường, Nước mắm","1. Ướp gà với sả, ớt, hành tỏi. 2. Phi thơm sả, ớt. 3. Kho gà với lửa nhỏ liu riu khoảng 45-60 phút cho đến khi gà nhừ.",~370.000,~410 kcal
Thịt bò kho,Món Kho,"Thịt bắp/nạm bò, Hành tây, Hành, Tỏi, Gừng, Nước dùng, Dầu ăn",1. Chiên sơ thịt bò cho săn. 2. Ninh xương lấy nước dùng. 3. Kho thịt bò với lửa nhỏ liu riu khoảng 1.5-2 tiếng cho đến khi thịt nhừ mềm.,~450.000,~500 kcal
Tôm kho,Món Kho,"Tôm sú, Nước dừa, Hành, Tỏi, Đường, Nước mắm","1. Làm sạch và để ráo tôm. 2. Phi thơm hành tỏi. 3. Kho tôm với nước dừa cho đến khi nước cạn, sánh lại và ngấm đều lên mặt tôm.",~400.000,~250 kcal
Tôm kho thịt ba chỉ,Món Kho,"Tôm sú, Thịt ba chỉ, Hành, Tỏi, Nước mắm, Đường",1. Ướp thịt ba chỉ. 2. Xào thịt ba chỉ cho chín tới. 3. Cho tôm vào nồi cùng kho với lửa nhỏ liu riu khoảng 20-25 phút cho tôm chín.,~420.000,~480 kcal
Mực kho tỏi sả,Món Kho,"Mực ống, Tỏi, Sả, Hành khô, Nước mắm, Đường","1. Làm sạch và để ráo mực. 2. Phi thơm tỏi, sả. 3. Kho mực với lửa nhỏ liu riu khoảng 15-20 phút cho mực chín.",~430.000,~220 kcal
Ba chỉ kho mắm ruốc,Món Kho,"Thịt ba chỉ, Mắm ruốc, Hành, Tỏi, Đường, Nước mắm",1. Chần thịt sơ. 2. Xào thịt với mắm ruốc đã được làm se. 3. Kho với lửa nhỏ liu riu khoảng 45-60 phút cho đến khi thịt nhừ và thấm mắm ruốc.,~300.000,~430 kcal
Kho quẹt,Món Kho,"Tôm khô, Cá khô, Tỏi, Hành tím, Ớt, Đường, Nước mắm, Mỡ gáy","1. Ngâm khô. 2. Phi thơm tỏi, hành tím. 3. Xào khô. 4. Cho hỗn hợp nước mắm+đường vào, đun sôi rồi hạ lửa nhỏ, khuấy liên tục cho đến khi sánh đặc.",~250.000,~550 kcal (cho 50g)
Lạc kho,Món Kho,"Lạc (đậu phộng), Nước dừa, Đường, Muối","1. Luộc chín và tách vỏ lạc. 2. Kho lạc với nước dừa, đường, muối cho đến khi nước cạn, sánh lại và ngấm đều vào lạc.",~150.000,~300 kcal (cho 50g)
Đậu hũ kho nấm,Món Kho,"Đậu hũ, Nấm rơm, Hành, Tỏi, Nước tương, Đường, Bột nêm","1. Chiên sơ đậu hũ. 2. Phi thơm nấm. 3. Kho đậu hũ với nước dùng (pha từ nước tương, đường, bột nêm) khoảng 15 phút cho thấm.",~120.000,~180 kcal (cho 1kg)
Thịt bò xào hành tây,Món xào,"- Thịt bò nạc: 400g
- Hành tây: 2 củ (~300g)
- Tỏi, hành tím: 30g
- Dầu hào, nước mắm, đường, tiêu","1. Sơ chế: Thịt bò thái lát mỏng, ướp với 1 muỗng canh dầu hào, 1 thìa cà phê tỏi băm, ½ thìa cà phê đường, ½ thìa cà phê tiêu, để 15 phút.
2. Xào: Phi thơm hành tỏi, cho thịt bò vào xào lửa lớn 1–2 phút cho chín tái, vớt ra.
3. Xào rau: Cho hành tây vào xào nhanh 2–3 phút, nêm ít nước mắm.
4. Trộn lại: Cho thịt bò vào đảo đều, tắt bếp. Dùng nóng.",~180.000,~280 kcal
Thịt bò xào cần tỏi,Món xào,"- Thịt bò: 400g
- Cần tây: 300g
- Tỏi: 30g
- Dầu hào, nước mắm, tiêu","1. Sơ chế: Bò ướp như trên. Cần tây cắt khúc, rửa sạch.
2. Xào: Phi tỏi, xào bò tái, vớt ra. Xào cần tây 2 phút, nêm gia vị.
3. Kết hợp: Trộn bò vào, đảo nhanh, tắt bếp.",~175.000,~270 kcal
Thịt bò xào măng tây/nấm/ớt chuông,Món xào,"- Thịt bò: 400g
- Măng tây: 200g
- Nấm đùi gà: 100g
- Ớt chuông đỏ/vàng: 100g
- Tỏi, dầu hào","1. Sơ chế: Bò ướp. Măng tây cắt khúc, chần sơ. Nấm, ớt chuông cắt lát.
2. Xào: Xào bò tái, vớt ra. Xào nấm + ớt + măng tây 2–3 phút.
3. Hoàn thiện: Trộn bò, nêm dầu hào, tiêu.",~200.000,~290 kcal
Thịt bò xào rau muống,Món xào,"- Thịt bò: 300g
- Rau muống: 500g
- Tỏi: 40g
- Dầu ăn, nước mắm","1. Sơ chế: Bò ướp nhẹ. Rau muống nhặt, rửa sạch.
2. Xào: Phi tỏi vàng, cho bò vào xào tái, vớt ra.
3. Xào rau: Cho rau vào xào lửa lớn, nêm nước mắm.
4. Trộn: Cho bò vào, đảo đều.",~160.000,~250 kcal
Thịt bò xào giá đỗ,Món xào,"- Thịt bò: 300g
- Giá đỗ: 400g
- Hành lá, tỏi, ớt","1. Sơ chế: Bò ướp. Giá rửa sạch, để ráo.
2. Xào: Xào bò tái, vớt ra. Xào tỏi, cho giá vào xào nhanh 1–2 phút.
3. Kết hợp: Trộn bò, nêm nước mắm, tiêu.",~150.000,~240 kcal
Thịt bò xào thiên lý/súp lơ,Món xào,"- Thịt bò: 400g
- Hoa thiên lý hoặc súp lơ: 300g
- Tỏi, dầu hào","1. Sơ chế: Thiên lý/súp lơ chần sơ. Bò ướp.
2. Xào: Xào bò tái, vớt ra. Xào rau 2 phút.
3. Trộn: Cho bò vào, nêm dầu hào, tiêu.",~185.000,~275 kcal
Thịt heo xào chua ngọt,Món xào,"- Thịt nạc vai: 400g
- Cà chua: 2 quả
- Dứa: 100g
- Hành tây, ớt, tỏi","1. Sơ chế: Thịt thái miếng, ướp với nước mắm, tiêu.
2. Xào: Xào thịt săn, vớt ra.
3. Sốt: Xào tỏi, cho dứa + cà chua + hành tây vào, nêm đường, giấm, nước mắm (tỷ lệ 2:1:1).
4. Hoàn thiện: Cho thịt vào, rim 2–3 phút.",~170.000,~300 kcal
Thịt heo xào nấm,Món xào,"- Thịt heo: 300g
- Nấm rơm/đông cô: 200g
- Hành, tỏi, nước mắm","1. Sơ chế: Thịt ướp. Nấm ngâm, rửa sạch.
2. Xào: Xào thịt săn, vớt ra. Xào nấm 3 phút.
3. Trộn: Cho thịt vào, nêm gia vị, tiêu.",~155.000,~260 kcal
Thịt heo xào sả ớt,Món xào,"- Thịt ba chỉ/nạc vai: 400g
- Sả: 5 cây
- Ớt, tỏi, nước mắm","1. Sơ chế: Thịt thái mỏng. Sả băm nhỏ.
2. Xào: Phi sả + tỏi + ớt thơm, cho thịt vào xào săn.
3. Nêm: Nêm nước mắm, đường, tiêu. Xào khô, dậy mùi.",~165.000,~320 kcal
Tôm xào thập cẩm,Món xào,"- Tôm sú: 300g
- Cà rốt, đậu Hà Lan, bắp non, nấm, ớt chuông: mỗi loại 50–100g","1. Sơ chế: Tôm bóc vỏ, ướp. Rau củ cắt hạt lựu, chần sơ.
2. Xào: Xào tôm tái, vớt ra. Xào rau củ 2 phút.
3. Trộn: Cho tôm vào, nêm dầu hào, tiêu.",~220.000,~280 kcal
Tôm xào măng,Món xào,"- Tôm: 300g
- Măng tươi: 200g
- Hành, tỏi, ớt","1. Sơ chế: Măng luộc kỹ, xé sợi. Tôm ướp.
2. Xào: Xào tôm tái, vớt ra. Xào măng 3 phút.
3. Kết hợp: Trộn tôm, nêm nước mắm, tiêu.",~200.000,~250 kcal
Tôm xào hành tây,Món xào,"- Tôm: 300g
- Hành tây: 200g
- Tỏi, tiêu, nước mắm","1. Sơ chế: Tôm ướp. Hành tây cắt múi cau.
2. Xào: Xào tôm tái, vớt ra. Xào hành tây 2 phút.
3. Trộn: Cho tôm vào, nêm gia vị.",~190.000,~240 kcal
Mực xào thập cẩm,Món xào,"- Mực ống: 400g
- Cà rốt, ớt chuông, hành tây, nấm: 300g tổng","1. Sơ chế: Mực làm sạch, khứa vảy rồng, chần sơ. Rau củ cắt vừa.
2. Xào: Xào mực 1–2 phút, vớt ra. Xào rau củ 2 phút.
3. Trộn: Cho mực vào, nêm dầu hào, tiêu.",~230.000,~260 kcal
Mực xào chua ngọt,Món xào,"- Mực: 400g
- Dứa, cà chua, dưa leo, ớt","1. Sơ chế: Mực chần sơ. Dứa, cà chua cắt miếng.
2. Xào: Xào mực tái, vớt ra. Xào sốt chua ngọt (giấm, đường, nước mắm).
3. Hoàn thiện: Cho mực + dứa vào, xào 2 phút.",~225.000,~250 kcal
Mực xào dứa/khóm,Món xào,"- Mực: 400g
- Dứa: 150g
- Hành tây, ớt, tỏi","1. Sơ chế: Mực chần sơ. Dứa cắt miếng.
2. Xào: Xào mực tái, vớt ra. Xào dứa + hành tây.
3. Trộn: Cho mực vào, nêm nước mắm, tiêu.",~220.000,~245 kcal
Mực xào cần tỏi,Món xào,"- Mực: 400g
- Cần tây: 200g
- Tỏi: 30g","1. Sơ chế: Mực chần sơ. Cần cắt khúc.
2. Xào: Xào mực 1–2 phút, vớt ra. Xào cần 2 phút.
3. Trộn: Cho mực vào, nêm gia vị.",~215.000,~240 kcal
Lươn xào sả ớt,Món xào,"- Lươn đồng: 500g
- Sả: 5 cây
- Ớt, tỏi, nghệ","1. Sơ chế: Lươn làm sạch, ướp với nghệ, tiêu.
2. Xào: Phi sả + tỏi + ớt thơm, cho lươn vào xào săn.
3. Nêm: Nêm nước mắm, đường, tiêu. Xào khô, dậy mùi.",~280.000,~350 kcal
Gà xào sả ớt,Món xào,"- Gà ta: 500g
- Sả: 5 cây
- Ớt, tỏi, chanh","1. Sơ chế: Gà chặt miếng nhỏ, ướp với sả băm, ớt, tiêu.
2. Xào: Xào gà săn, nêm nước mắm, đường.
3. Hoàn thiện: Vắt chanh trước khi tắt bếp.",~200.000,~320 kcal
Gà xào nấm,Món xào,"- Gà: 400g
- Nấm các loại: 200g
- Hành, tỏi","1. Sơ chế: Gà ướp. Nấm ngâm, rửa sạch.
2. Xào: Xào gà săn, vớt ra. Xào nấm 3 phút.
3. Trộn: Cho gà vào, nêm nước mắm, tiêu.",~190.000,~300 kcal
Gà xào gừng,Món xào,"- Gà: 500g
- Gừng non: 50g
- Hành, tỏi","1. Sơ chế: Gà ướp. Gừng thái sợi.
2. Xào: Xào gừng thơm, cho gà vào xào săn.
3. Nêm: Nêm nước mắm, đường, tiêu.",~195.000,~310 kcal
"Tim, cật xào giá",Món xào,"- Tim/cật heo: 300g
- Giá đỗ: 300g
- Hành tây, tỏi, ớt","1. Sơ chế: Tim/cật làm sạch, thái mỏng, ướp. Giá rửa sạch.
2. Xào: Xào tim/cật 2 phút, vớt ra. Xào giá 1–2 phút.
3. Trộn: Cho tim/cật vào, nêm gia vị.",~180.000,~270 kcal
Rau muống xào tỏi,Món xào,"- Rau muống: 500g
- Tỏi: 40g
- Dầu ăn, nước mắm","1. Sơ chế: Rau nhặt, rửa sạch.
2. Xào: Phi tỏi vàng, cho rau vào xào lửa lớn.
3. Nêm: Nêm nước mắm, đảo nhanh, tắt bếp.",~60.000,~120 kcal
Rau muống xào chao,Món xào,"- Rau muống: 500g
- Chao: 2–3 viên
- Tỏi, ớt","1. Sơ chế: Rau rửa sạch. Chao tán nhuyễn với chút nước.
2. Xào: Phi tỏi, cho chao vào, xào thơm.
3. Cho rau: Cho rau vào xào nhanh, nêm thêm nếu cần.",~70.000,~130 kcal
Rau lang xào tỏi,Món xào,"- Rau lang: 500g
- Tỏi: 30g","1. Sơ chế: Rau rửa sạch, để ráo.
2. Xào: Phi tỏi, cho rau vào xào lửa lớn.
3. Nêm: Nêm nước mắm, tiêu.",~65.000,~110 kcal
Giá đỗ xào thịt bò/heo,Món xào,"- Giá: 400g
- Thịt bò/heo: 200g
- Hành, tỏi","1. Sơ chế: Thịt ướp. Giá rửa sạch.
2. Xào: Xào thịt tái, vớt ra. Xào giá 1–2 phút.
3. Trộn: Cho thịt vào, nêm gia vị.",~140.000,~230 kcal
