id,title,readyInMinutes,healthScore,type,ingredients,instructions,isLocal,cost,calories
"vn_1","Thịt kho tàu",45,62,"kho","Thịt ba chỉ; Trứng vịt; Nước dừa; Đường thốt nốt; Nước mắm; Hành; Tỏi; Gừng","1. Chần thịt sơ. 2. Đảo đường thành nước màu. 3. Xào thịt, cho vào nồi kho với nước dừa. 4. Kho nhừ, cho trứng vào kho thêm.",true,"~350.000","~450 kcal"
"vn_2","Thịt kho tiêu",45,85,"kho","Thịt ba rọi; Hạt tiêu; Đường; Nước mắm; Nước dùng; Hành; Tỏi","1. Chần thịt sơ. 2. Ướp thịt với tiêu. 3. Phi thơm hành tỏi, xào thịt. 4. Kho với lửa nhỏ liu riu cho đến khi thịt nhừ và nước sánh.",true,"~280.000","~400 kcal"
"vn_3","Thịt kho trứng",45,89,"kho","Thịt ba chỉ; Trứng gà; Đường; Nước mắm; Nước dùng; Hành; Tỏi","1. Chần thịt sơ. 2. Đảo đường thành nước màu. 3. Kho thịt nhừ. 4. Cho trứng đã luộc chín vào kho thêm 10-15 phút.",true,"~300.000","~420 kcal"
"vn_4","Cá kho tộ",45,64,"kho","Cá basa; Mỡ gáy; Hành; Tỏi; Đường; Nước mắm; Nước dừa","1. Làm sạch và thấm khô cá. 2. Phi thơm hành tỏi trong mỡ gáy. 3. Rải mỡ hành vào nồi, xếp cá lên, rưới mỡ hành lên cá. 4. Kho liu riu với nước dùng (nước mắm+đường+nước) cho đến khi cá chín mềm.",true,"~320.000","~380 kcal"
"vn_5","Cá kho riềng",45,62,"kho","Cá basa; Riềng non; Hành; Tỏi; Đường; Nước mắm; Ớt","1. Làm sạch và thấm khô cá. 2. Phi thơm riềng non. 3. Xào sơ cá với riềng. 4. Kho với lửa nhỏ liu riu khoảng 20-25 phút cho cá chín.",true,"~340.000","~360 kcal"
"vn_6","Cá kho nghệ",45,77,"kho","Cá basa; Nghệ tươi; Hành; Tỏi; Đường; Nước mắm","1. Làm sạch và thấm khô cá. 2. Phi thơm hành tỏi và nghệ. 3. Cho cá vào nồi, đổ nước dùng (pha từ nước mắm, đường, bột nghệ) vào. 4. Kho nhỏ lửa khoảng 20 phút cho cá chín.",true,"~330.000","~350 kcal"
"vn_7","Gà kho gừng",45,69,"kho","Gà ta; Gừng non; Hành; Tỏi; Đường; Nước mắm; Nước dùng","1. Ướp gà với gừng và chanh. 2. Phi thơm gừng. 3. Kho gà với lửa nhỏ liu riu khoảng 45-60 phút cho đến khi gà nhừ.",true,"~360.000","~390 kcal"
"vn_8","Gà kho sả ớt",45,95,"kho","Gà ta; Sả; Ớt; Hành; Tỏi; Đường; Nước mắm","1. Ướp gà với sả, ớt, hành tỏi. 2. Phi thơm sả, ớt. 3. Kho gà với lửa nhỏ liu riu khoảng 45-60 phút cho đến khi gà nhừ.",true,"~370.000","~410 kcal"
"vn_9","Thịt bò kho",45,73,"kho","Thịt bắp/nạm bò; Hành tây; Hành; Tỏi; Gừng; Nước dùng; Dầu ăn","1. Chiên sơ thịt bò cho săn. 2. Ninh xương lấy nước dùng. 3. Kho thịt bò với lửa nhỏ liu riu khoảng 1.5-2 tiếng cho đến khi thịt nhừ mềm.",true,"~450.000","~500 kcal"
"vn_10","Tôm kho",45,82,"kho","Tôm sú; Nước dừa; Hành; Tỏi; Đường; Nước mắm","1. Làm sạch và để ráo tôm. 2. Phi thơm hành tỏi. 3. Kho tôm với nước dừa cho đến khi nước cạn, sánh lại và ngấm đều lên mặt tôm.",true,"~400.000","~250 kcal"
